Make,Year,Condition,Mileage,Price
Subaru,2022,Certified,22414,29999
Chevrolet,2017,Used,78391,17998
Dodge,2007,Used,195000,14999
Cadillac,2016,Used,116709,17988
Nissan,2022,Used,16168,25885
Polestar,2023,Used,6419,35897
Chevrolet,2012,Used,141343,5999
Chevrolet,2024,New,10,54595
Rivian,2023,Used,8065,81497
Cadillac,2022,Used,23773,84800
Chevrolet,2024,New,10,55090
Chevrolet,2014,Used,126870,8500
Chevrolet,2024,New,6,47095
Genesis,2024,New,4,97995
Chevrolet,2024,New,5,44195
Jeep,2023,New,0,53659
Polestar,2022,Used,31430,26477
BMW,2020,Used,42644,42479
BMW,2020,Used,42232,42479
Polestar,2022,Used,25406,26978
Ford,2017,Used,78109,30489
INFINITI,2012,Used,146859,14991
Hummer,2010,Used,152816,11995
Audi,2017,Used,69723,17495
BMW,2010,Used,126547,9985
Mercedes-Benz,2024,New,8,160470
Nissan,2019,Used,85317,14750
Mercedes-Benz,2024,New,12,160780
Kia,2015,Used,127600,7999
Mercedes-Benz,2024,New,11,152100
Delorean,1981,Used,495,100989
Audi,2022,Used,18169,113800
Chevrolet,2013,Used,61672,13490
Mercedes-Benz,2015,Used,80701,17340
Audi,2018,Used,92793,16860
Chrysler,2008,Used,29525,14950
Nissan,2006,Used,127487,10595
Mercedes-Benz,2016,Used,79947,19999
Genesis,2024,New,20,101605
Toyota,2017,Used,81141,19999
Ford,2015,Used,44145,12982
Toyota,2012,Used,200081,15999
Volkswagen,2012,Used,107400,12975
INFINITI,2017,Used,58404,19888
Audi,2012,Used,80134,15995
Mercedes-Benz,2020,Used,19111,61888
Toyota,2012,Used,144252,22390
Porsche,2014,Used,18941,56888
Jeep,2017,Used,30106,18998
BMW,2017,Used,74255,30999
INFINITI,2015,Used,65145,19420
Nissan,2020,Used,82173,18900
Jaguar,2005,Used,58471,16991
Ford,2022,Used,13608,20300
Mazda,2023,Used,2621,33975
Nissan,2024,Used,1569,26500
Cadillac,2023,Used,7525,53750
Ferrari,2007,Used,20444,149800
Dodge,2014,Used,6031,229800
Audi,2024,New,23,103030
Toyota,2001,Used,4524,24800
Mitsubishi,2005,Used,133400,7500
Chrysler,2001,Used,42539,10500
Volkswagen,2014,Used,64910,11677
Volkswagen,2018,Used,78284,14743
Ferrari,2001,Used,14742,269900
BMW,2021,Certified,31506,34995
Volkswagen,2018,Used,44037,18000
Lexus,2024,New,0,68490
Mercedes-Benz,2023,Certified,1999,63994
Scion,2006,Used,107362,6527
Audi,2023,Certified,9906,34944
Lexus,2017,Used,108427,20995
Audi,2013,Used,130000,10000
INFINITI,2018,Used,74716,23976
Volkswagen,2014,Used,147316,11850
Audi,2017,Used,43938,17994
Chevrolet,2012,Used,81146,9499
Jeep,2006,Used,140000,6500
Mazda,2010,Used,88000,6600
Hyundai,2013,Used,107338,10695
Mazda,2021,Used,62465,21645
Scion,2016,Used,62035,10885
Ford,2005,Used,147728,4550
Mercury,2003,Used,160121,3299
Toyota,2009,Used,203389,3600
Mazda,2017,Used,60236,23695
Cadillac,2023,Used,13975,56501
Ford,2021,Used,4998,21567
Acura,2007,Used,66665,13995
Volkswagen,2014,Used,73835,16950
Saab,2008,Used,90671,7495
Audi,2021,Used,48387,57980
FIAT,2014,Used,49417,8995
Mercedes-Benz,2016,Used,76221,19372
Volkswagen,2023,Used,13437,46888
Mercedes-Benz,2016,Used,84393,21998
Chevrolet,2007,Used,51769,7997
Chevrolet,2022,Used,27473,22063
Subaru,2014,Used,117829,15912
Toyota,2023,Certified,17595,26228
Volkswagen,2013,Used,93009,14480
Lexus,2021,Used,24960,35988
Chevrolet,2007,Used,63438,5999
Mercedes-Benz,2016,Used,76481,21495
Jaguar,2012,Used,87659,13995
Lexus,2019,Used,78966,26988
Nissan,2016,Used,77129,16491
Scion,2013,Used,57374,15980
Toyota,2021,Used,24866,36990
RAM,2024,New,11,51740
Volkswagen,2013,Used,97710,10890
Jeep,2020,Used,44413,20989
Mercury,2008,Used,63528,15950
Mercedes-Benz,2016,Used,82948,18995
Nissan,2017,Used,61652,21980
Ford,2020,Used,46493,18980
Chevrolet,2017,Used,131000,9900
Mercedes-Benz,2016,Used,74456,18555
Cadillac,2018,Used,37459,40989
Chevrolet,2014,Used,24373,45390
BMW,2018,Used,49668,31855
BMW,2017,Used,38844,37749
Porsche,2021,Used,29717,66888
Scion,2014,Used,49051,12200
Lexus,2002,Used,162186,6000
Nissan,2018,Used,63620,30995
Volkswagen,2013,Used,106959,13530
INFINITI,2019,Used,43389,29589
Buick,2020,Used,30454,24989
Jaguar,2017,Used,36622,27706
Scion,2016,Used,80990,11500
BMW,2023,Used,33811,38900
Dodge,2019,Used,92065,14500
Volkswagen,2016,Used,12713,27875
Chevrolet,2014,Used,63800,37990
Audi,2021,Used,6437,46401
Audi,2018,Used,39000,36000
Subaru,2013,Used,61753,15990
Subaru,2023,Used,7961,30998
Ford,2023,New,5,59025
Mercedes-Benz,2016,Used,41771,26998
Hyundai,2017,Used,72115,17475
INFINITI,2017,Used,72914,21998
Audi,2021,Used,39930,99800
Ferrari,2007,Used,19248,149800
Dodge,2014,Used,88891,9500
Volkswagen,2013,Used,116933,8944
Jeep,2018,Used,43672,23700
Rolls-Royce,2004,Used,33125,109800
Buick,2018,Used,44114,19772
Jeep,2006,Used,100982,9990
Jeep,2006,Used,84759,11300
BMW,2015,Used,145848,8995
INFINITI,2015,Certified,42663,33745
Audi,2020,Used,63016,48991
Volkswagen,2016,Used,59057,18991
Jeep,2018,Used,31671,28881
BMW,2021,Certified,25909,56888
Chevrolet,2024,New,2,47590
Dodge,2006,Used,112016,24700
Mercedes-Benz,2021,Used,14240,42700
Audi,2021,Certified,9372,29444
Nissan,2023,New,2,63578
Lexus,2016,Used,147616,15995
Nissan,2023,New,5,63900
Nissan,2023,New,2,63900
Nissan,2024,New,2,69603
Nissan,2023,New,2,63500
Hyundai,2006,Used,105059,9986
RAM,2024,New,0,66400
Lexus,2002,Used,180083,7985
Cadillac,2020,Used,34851,25982
Honda,2007,Used,173167,6500
Jeep,2017,Used,143581,12995
Volkswagen,2016,Used,39960,28991
Mazda,2010,Used,72412,9495
Toyota,2008,Used,77156,9899
Volkswagen,2022,Used,7841,42995
Mazda,2012,Used,120311,4999
Ferrari,2023,Certified,1646,309499
Volvo,2011,Used,65502,12995
Chrysler,2018,Used,94366,18900
Chevrolet,2024,New,10,47095
Lexus,2002,Used,122839,6690
Cadillac,2015,Used,139286,26995
Lexus,2003,Used,183512,4999
Lexus,2021,Used,25064,37988
Nissan,2021,Used,45205,23586
Mercedes-Benz,2020,Used,42244,36479
Mercedes-Benz,2011,Used,197454,9995
Lexus,2004,Used,140954,6990
Toyota,2009,Used,146767,6995
Hyundai,2012,Used,178796,7990
BMW,2015,Used,42709,23690
BMW,2016,Used,143877,15414
Toyota,2011,Used,90324,29945
BMW,2013,Used,59524,16900
BMW,2015,Used,117781,16995
Mercedes-Benz,2017,Used,77746,27900
Toyota,2009,Used,111846,10990
Chevrolet,2011,Used,81827,24950
BMW,2014,Used,90234,20900
Jeep,2019,Used,27855,15988
BMW,2016,Used,36087,45985
Bentley,2002,Used,17626,49900
Volkswagen,2013,Used,78210,10990
Kia,2023,New,15,42670
Kia,2023,New,11,42670
BMW,2014,Used,82603,20985
INFINITI,2009,Used,68801,14995
Lexus,2008,Used,175500,15000
Cadillac,2020,Used,60610,37000
BMW,2008,Used,107000,9000
Hyundai,2024,New,5,44200
Chevrolet,2011,Used,145416,13990
BMW,2021,Used,46321,67685
BMW,2015,Used,104000,17900
Volvo,2017,Used,46726,23444
Mercedes-Benz,2016,Used,75221,24995
Jeep,2019,Used,20323,20998
Jeep,2018,Used,20821,21998
Toyota,2018,Used,59553,24995
Nissan,2020,Used,91569,17900
Toyota,2017,Used,47008,17998
Mazda,2023,Used,14778,27998
Honda,2019,Used,57830,24998
Mitsubishi,1993,Used,15002,19800
Volkswagen,2016,Used,12957,23990
Hyundai,2010,Used,117926,7490
Chevrolet,2013,Used,80220,26975
Jeep,2020,Used,26286,19995
Scion,2008,Used,107046,7990
Volkswagen,2012,Used,73790,16900
Nissan,2021,Used,24477,22424
INFINITI,2009,Used,131979,9495
Chevrolet,2005,Used,81076,24950
Chevrolet,2024,New,3,42695
Chevrolet,2024,New,3,47590
Chevrolet,2024,New,3,47095
Mercedes-Benz,2024,New,9,81386
Rivian,2023,Used,10689,68977
Mercedes-Benz,2024,New,10,75578
Lexus,2024,New,0,63420
Lexus,2018,Used,45674,58988
Audi,2014,Used,43906,15973
Audi,2018,Used,71542,20884
Audi,2023,Certified,9092,40744
Audi,2021,Used,18163,27844
Audi,2020,Used,30255,51844
Chevrolet,2021,Certified,24827,32577
Cadillac,2020,Used,36045,28538
Buick,2017,Used,105451,14995
Cadillac,2017,Used,56163,26990
Honda,2006,Used,126883,2700
Toyota,2007,Used,125500,16995
Lexus,2019,Used,51204,33000
Toyota,2007,Used,187899,14288
Cadillac,2017,Used,70849,33500
Nissan,2019,Used,67492,24500
Honda,2018,Used,55853,21991
Volvo,2010,Used,72234,9995
Honda,2006,Used,100898,6995
Pontiac,2009,Used,114397,6950
Hyundai,2022,Used,6900,18000
Honda,2018,Used,82407,14500
Cadillac,2019,Used,51785,37999
Cadillac,2023,Used,11389,46888
Mazda,2021,Used,6775,28398
Audi,2016,Used,43304,49800
BMW,2023,Used,6543,93797
INFINITI,2011,Used,142476,5999
Ferrari,2023,Certified,285,329999
Lexus,2024,New,,68180
Fisker,2023,Used,3262,47998
Ford,2023,New,49,62215
Chevrolet,2024,New,8,47590
Lexus,2024,New,5,68900
Volkswagen,2006,Used,148156,5799
Lexus,2014,Used,107573,14995
Lexus,2022,Used,15435,48988
Jaguar,2015,Used,122606,17995
Jaguar,2019,Used,77256,28980
Saab,2005,Used,85268,8555
McLaren,2023,Used,207,239911
Mercedes-Benz,2016,Used,138687,15450
BMW,2021,Used,29170,78850
Chevrolet,1971,Used,32695,32754
Chevrolet,1985,Used,1450,32984
Honda,2018,Used,90009,16999
Mitsubishi,2012,Used,44417,5290
Toyota,2011,Used,183689,19500
Lexus,2019,Used,66916,25000
Cadillac,2016,Used,57508,25988
Nissan,2023,New,2,47785
Lexus,2017,Used,101668,21999
Honda,2019,Used,30330,22999
Mercedes-Benz,2004,Used,119139,6823
Toyota,2007,Used,104448,23888
BMW,2013,Used,86035,22888
Nissan,2020,Used,40876,22852
Porsche,2019,Used,38245,56888
Cadillac,2022,Used,56192,28560
Lexus,2024,New,2,62005
Volvo,2015,Used,50724,16900
BMW,2016,Used,66520,36400
Mercedes-Benz,2020,Used,28059,37888
Chevrolet,2019,Used,68378,16800
Cadillac,2020,Used,71183,36950
Volkswagen,2017,Used,35485,28486
INFINITI,2008,Used,124347,8990
Cadillac,2019,Used,56980,24400
Volvo,2019,Used,53832,37686
Audi,2021,Used,57532,26280
Jeep,2020,Used,17397,22998
INFINITI,2012,Used,118525,13995
Jeep,2019,Used,68559,21295
Toyota,2007,Used,62856,22900
Audi,2014,Used,51669,39990
Toyota,2014,Used,61846,33875
Scion,2013,Used,60696,16990
Toyota,2007,Used,174228,14495
Chevrolet,2021,Used,19425,20500
Lexus,2024,Used,437,64777
Jaguar,2016,Used,69287,20900
Audi,2021,Used,23625,48880
BMW,2015,Used,96190,48998
McLaren,2022,Used,935,189800
Chevrolet,2021,Used,15467,15795
Scion,2014,Used,81205,14795
INFINITI,2011,Used,70514,10999
Cadillac,2020,Used,29360,45400
Honda,2018,Used,103231,15695
Toyota,2007,Used,94053,24900
BMW,2023,Certified,7138,48995
Acura,2006,Used,186182,6995
Porsche,2023,Certified,818,259991
Audi,2014,Used,57700,49000
Lexus,2024,New,0,63060
Toyota,2022,Used,21841,42500
BMW,2023,Used,4366,50888
Cadillac,2021,Used,12706,28277
Nissan,2023,New,27,63578
Lexus,2020,Used,86986,31951
BMW,2018,Used,83306,30890
Nissan,2019,Used,43895,23786
Cadillac,2017,Used,58891,25741
Kia,2017,Used,99378,12995
Cadillac,2019,Used,102318,26500
Audi,2022,Used,50393,69088
Porsche,2020,Certified,16388,127994
INFINITI,2011,Used,137577,9800
Volvo,2018,Used,82454,20950
Subaru,2020,Used,43770,34888
Buick,2013,Used,71021,12229
Rivian,2023,Used,5725,77472
Rivian,2022,Used,18673,71972
Honda,2018,Used,63773,20999
Lexus,2017,Used,78817,28995
Lexus,2020,Used,39055,31157
BMW,2021,Used,23418,35999
Jaguar,2013,Used,73567,15499
Ford,2024,New,8,41250
Lexus,2024,New,4,66620
Mercedes-Benz,1980,Used,78677,13980
INFINITI,2013,Used,87223,17953
GMC,2012,Used,203257,9499
BMW,2023,Certified,14261,47991
BMW,2020,Used,42763,44000
Kia,2023,Used,19100,23979
Lexus,2016,Used,33400,26988
Porsche,2023,Certified,7010,99000
Lexus,2024,Used,983,62995
BMW,2023,Used,11753,51351
Volkswagen,2013,Used,152360,8950
Volvo,2018,Used,54396,20890
Volkswagen,2014,Used,97038,10980
BMW,2022,Used,15236,63700
Ford,2016,Used,116359,14900
Rivian,2023,Used,7740,82800
Lexus,2016,Used,68446,15950
MINI,2007,Used,64000,8000
Kia,2018,Used,90624,14945
INFINITI,2011,Used,187773,11888
Volkswagen,2012,Used,135672,7777
Nissan,2024,New,1,56181
Lexus,2019,Used,35947,30555
Lexus,2018,Used,49232,24400
Mitsubishi,2011,Used,143596,8888
Lexus,2016,Used,173645,11888
GMC,2012,Used,127835,13999
Mercedes-Benz,2016,Used,79580,34999
Jeep,2020,Used,87713,18490
Cadillac,2018,Used,74484,27950
Volkswagen,2013,Used,115770,9995
Isuzu,2001,Used,157900,18500
Buick,2019,Used,32729,27488
Jaguar,2020,Used,36890,28987
Volkswagen,2015,Used,82903,15905
BMW,2022,Used,9091,36998
Volvo,2018,Used,115289,19500
Jeep,2021,Used,57860,20709
Nissan,2014,Used,17860,92800
Volkswagen,2012,Used,114857,12900
Volvo,2020,Used,21375,43475
Jeep,2020,Used,18209,22174
Lexus,2019,Used,47511,38495
Lexus,2024,New,0,41164
Kia,2018,Used,115886,16995
Chevrolet,2019,Used,13219,24940
Lexus,2014,Used,74981,19998
Lexus,2024,New,0,41164
Cadillac,2018,Used,70089,33991
Mercedes-Benz,2020,Certified,18209,68999
Cadillac,2018,Used,71582,29498
Lexus,2022,Used,36585,45450
Volkswagen,2020,Used,38349,20350
Toyota,2024,New,0,53428
Lexus,2017,Used,103707,21498
BMW,2021,Certified,23932,39980
INFINITI,2010,Used,149982,8980
Rivian,2023,Used,2112,82580
Volvo,2023,Certified,5743,54632
Mitsubishi,2011,Used,105615,7999
Porsche,2007,Used,45459,34800
Lexus,2019,Used,99417,27995
Cadillac,2018,Used,70885,26495
BMW,2018,Used,82593,28995
BMW,2024,New,153,54295
Volkswagen,2013,Used,112000,11000
BMW,2021,Certified,29194,40488
Honda,2024,New,7,30195
Lexus,2024,New,0,44015
Hyundai,2020,Used,45648,13999
BMW,2018,Used,76140,38400
Chevrolet,2024,New,4,47095
Audi,2024,New,3,54605
Toyota,2022,Used,18033,23577
Toyota,2024,New,5,49268
Toyota,2024,New,5,45744
Mitsubishi,2003,Used,42000,5500
Honda,2018,Used,73350,16998
Mazda,2019,Used,22055,22495
BMW,2023,Used,13979,89999
MINI,2012,Used,76775,10485
Buick,2007,Used,67339,6995
Buick,2007,Used,45055,8995
Mercedes-Benz,2018,Used,74000,40000
GMC,2010,Used,148085,9995
Honda,2024,New,10,30195
Ford,2014,Used,108069,8595
Chevrolet,2023,Used,14729,22979
Nissan,2016,Used,72860,12997
Acura,2010,Used,105884,9901
Audi,2022,Used,1895,133900
Volkswagen,2017,Used,74665,18999
Dodge,2013,Used,15094,124991
BMW,2019,Used,24921,24491
Nissan,2020,Used,31068,22499
Rivian,2023,Used,4127,72981
Nissan,2017,Used,104618,14291
Lincoln,2012,Used,67629,9878
Lexus,2024,New,0,72575
Toyota,2017,Used,165000,9999
Chevrolet,2018,Used,80000,7998
Toyota,2021,Used,21194,41745
MINI,2012,Used,94558,9995
BMW,2020,Used,59183,32782
Mercedes-Benz,2007,Used,78750,11999
Land,2014,Used,98850,22995
Lexus,2024,New,0,73075
GMC,2011,Used,144543,13495
Ferrari,2001,Used,38033,88990
Ford,2017,Used,121619,13995
Honda,2023,Used,6326,46914
Lexus,2014,Used,99068,14790
Cadillac,2013,Used,135769,10495
MINI,2010,Used,133408,5850
Toyota,2013,Used,35740,14985
Chevrolet,2011,Used,88948,6990
Chevrolet,2009,Used,75516,6490
MINI,2008,Used,82051,10990
Acura,2010,Used,154225,12999
MINI,2012,Used,62120,13990
Jaguar,2020,Used,28628,29995
Dodge,2011,Used,98086,9990
Chevrolet,2021,Used,64035,17800
Volkswagen,1974,Used,49325,16000
Hyundai,2024,New,5,44220
Hyundai,2024,New,5,44250
BMW,2019,Used,16296,42888
Chevrolet,2019,Used,46748,25459
Jaguar,2020,Used,53224,23500
Volvo,2012,Used,44804,16995
Audi,2020,Used,6778,41495
Volkswagen,2021,Used,32433,31900
Audi,2024,New,9,50605
Porsche,2014,Used,86866,32995
Rivian,2022,Used,31158,62333
Honda,2019,Used,28106,25600
Chevrolet,2008,Used,25977,34995
Jeep,2016,Used,82925,11647
Jeep,2021,Used,34590,26000
Honda,2024,New,5,30195
Mercedes-Benz,2019,Used,120001,24991
Volkswagen,2014,Used,114214,7995
Buick,2024,New,15,26355
Kia,2017,Used,130705,10495
Volkswagen,2024,Used,3128,45000
BMW,2023,Used,8810,99800
Lexus,2015,Used,71073,17950
Alfa,2015,Used,34683,52800
Volkswagen,2018,Used,43599,22977
Nissan,2024,New,1,50100
Dodge,1999,Used,2507,31954
INFINITI,2009,Used,153304,8495
Ferrari,2002,Used,9866,189900
Cadillac,1989,Used,30000,9995
Subaru,2006,Used,113400,6995
Mercedes-Benz,2024,New,10,115615
BMW,2023,Used,11837,48899
Honda,2022,Used,15672,29299
Volkswagen,2013,Used,73698,12500
BMW,2024,Used,5492,77999
Chevrolet,2017,Used,89409,13499
Ford,2017,Used,15893,26995
Oldsmobile,2001,Used,176000,3000
Chevrolet,2021,Used,67594,27388
Pontiac,1972,Used,18460,23988
Chevrolet,2022,Used,30215,34795
Subaru,2018,Used,34230,31257
Genesis,2023,Used,1139,88559
Mazda,2021,Used,61644,20295
GMC,2021,Used,18448,66529
Buick,2011,Used,75383,10000
Subaru,2005,Used,126240,9951
Porsche,2023,Certified,495,99999
Porsche,2022,Certified,7291,68994
Nissan,2019,Used,17633,21900
Mazda,2019,Used,26536,25637
BMW,2018,Used,76259,20980
Mazda,2021,Used,14186,22412
Rivian,2022,Used,20475,61961
Nissan,1994,Used,59037,19991
Honda,2023,Used,3642,29988
Mercedes-Benz,2018,Used,37124,75991
Honda,2019,Used,45341,24998
Mitsubishi,2020,Used,44571,16400
Land,2015,Used,70436,24997
Saab,2005,Used,109301,13800
Land,2021,Used,44345,50997
Toyota,2023,Certified,20430,25998
Chevrolet,2024,New,55,47095
Jaguar,2020,Used,34123,25685
Honda,2022,Used,31484,30998
Ford,2017,Used,93916,19499
Isuzu,1994,Used,71748,14888
Volvo,2021,Certified,36569,32989
BMW,2024,New,10,57575
INFINITI,2021,Certified,40170,35987
Nissan,2011,Used,88552,10759
Acura,2012,Used,151068,8999
McLaren,2016,Used,16500,215800
Porsche,2019,Used,7261,75975
Ford,2012,Used,147500,8998
BMW,2022,Used,17412,64800
Porsche,2021,Used,16978,96800
Ford,2014,Used,92742,9700
Buick,1992,Used,41546,9990
Subaru,2015,Used,115268,19990
Volkswagen,2012,Used,81389,9890
Mazda,2014,Used,62388,8945
Mazda,2009,Used,63590,8495
INFINITI,2011,Used,123350,10490
Mazda,2016,Used,132866,9495
Volvo,2011,Used,84618,13490
BMW,2006,Used,21184,31985
BMW,2011,Used,107343,18980
Land,2018,Used,68204,32982
Lincoln,2017,Used,73560,17500
Volkswagen,2017,Used,82198,19888
Honda,2019,Used,8406,25994
Jaguar,2020,Used,48631,24595
RAM,2024,New,,56150
BMW,2020,Used,45273,47249
Dodge,1991,Used,1200,49995
BMW,2015,Used,76351,22995
Honda,2022,Certified,38205,27999
Honda,2020,Used,18800,26999
Jaguar,2020,Used,11476,28776
BMW,2019,Used,18792,27998
Nissan,2023,Used,18768,25690
INFINITI,2011,Used,70773,15495
Dodge,1994,Used,109560,7900
Mazda,2017,Used,73707,15750
Nissan,2021,Used,62185,16000
Audi,2016,Used,47302,26880
Audi,2019,Used,40112,29450
Buick,2008,Used,107000,6913
INFINITI,2013,Used,104443,9999
Volvo,2017,Used,84728,14674
Chevrolet,2024,New,3,42695
Audi,2024,New,17,113190
BMW,2024,New,8,56375
Land,2017,Used,79850,26950
Volvo,2016,Used,74584,19995
Ford,2012,Used,146772,6795
Rivian,2022,Used,21924,61371
Mazda,2020,Used,33560,23995
Honda,2024,New,10,30195
Toyota,2021,Used,18516,26000
Honda,2020,Used,23971,27995
Nissan,2021,Used,60722,15777
Mercedes-Benz,2019,Used,60970,82499
Mazda,2013,Used,58857,11495
BMW,1993,Used,43506,44985
INFINITI,2009,Used,68885,12995
Audi,2018,Used,38569,37166
Subaru,2016,Used,72600,24980
Mercedes-Benz,2020,Used,99582,34980
Rolls-Royce,1984,Used,111222,12495
Honda,2024,New,5,30195
Audi,2022,Used,10405,99972
Chevrolet,2017,Used,109219,12995
Mazda,2017,Used,50000,14800
BMW,2020,Used,76256,27995
